time,seconds_elapsed,z,y,x
1772884875032374000,0.2553740234375,0.2424020767211914,-0.03628349304199219,0.06015321612358093
1772884875048984000,0.271984130859375,0.22316932678222656,-0.09911918640136719,0.020877987146377563
1772884875065587700,0.288587646484375,-0.10488319396972656,-0.046321868896484375,-0.06895506381988525
1772884875082193200,0.305193115234375,-0.4837989807128906,0.048143863677978516,-0.10246807336807251
1772884875098801200,0.32180126953125,-0.530860424041748,0.14503955841064453,-0.04808616638183594
1772884875115405600,0.338405517578125,-0.24217510223388672,0.040827274322509766,-0.08497130870819092
1772884875132018000,0.355017822265625,0.040424346923828125,-0.09519386291503906,-0.17776302993297577
1772884875148619300,0.371619384765625,0.2813148498535156,-0.14114999771118164,-0.22808922827243805
1772884875165212000,0.3882119140625,0.3645620346069336,-0.1863260269165039,-0.3005426526069641
1772884875181837000,0.404837158203125,0.4360466003417969,-0.16889619827270508,-0.328558087348938
1772884875198441500,0.42144140625,0.4277524948120117,-0.16136503219604492,-0.26146653294563293
1772884875215034600,0.43803466796875,0.21641826629638672,-0.05236673355102539,-0.20867961645126343
1772884875231657700,0.45465771484375,-0.011052131652832031,-0.032253265380859375,-0.17727261781692505
1772884875248260400,0.47126025390625,-0.07534313201904297,0.005157470703125,-0.14795581996440887
1772884875264876000,0.4878759765625,-0.08711433410644531,-0.002513885498046875,-0.20521850883960724
1772884875281468200,0.50446826171875,-0.08635139465332031,-0.016324520111083984,-0.230764701962471
1772884875298082000,0.52108203125,-0.03337383270263672,-0.040200233459472656,-0.2105187177658081
1772884875314689000,0.53768896484375,0.04962730407714844,-0.07043075561523438,-0.14717607200145721
1772884875331296300,0.554296142578125,-0.03771400451660156,-0.04868459701538086,-0.10463181138038635
1772884875347904300,0.570904296875,-0.20094013214111328,-0.005560398101806641,-0.14002472162246704
1772884875364509400,0.587509521484375,-0.1859583854675293,-0.028099536895751953,-0.15260764956474304
1772884875381115000,0.604114990234375,-0.1343069076538086,-0.06223630905151367,-0.12479713559150696
1772884875397724400,0.620724365234375,-0.15717315673828125,-0.04308462142944336,-0.08098408579826355
1772884875414313700,0.637313720703125,-0.2174825668334961,-0.0031499862670898438,-0.025507450103759766
1772884875430925600,0.653925537109375,-0.3189229965209961,-0.0028433799743652344,0.001479417085647583
1772884875447529700,0.67052978515625,-0.2336721420288086,-0.0013480186462402344,0.03173106908798218
1772884875464138500,0.687138427734375,-0.05481433868408203,-0.030770301818847656,0.1131020188331604
1772884875480745200,0.7037451171875,0.10823631286621094,-0.06923961639404297,0.156198650598526
1772884875497351400,0.720351318359375,0.27208805084228516,-0.1064448356628418,0.12465828657150269
1772884875513961200,0.736961181640625,0.4045839309692383,-0.0641622543334961,0.06149965524673462
1772884875530567200,0.753567138671875,0.26806163787841797,-0.08138132095336914,-0.09539301693439484
1772884875547187000,0.77018701171875,-0.05876731872558594,-0.011405467987060547,-0.23059415817260742
1772884875563794000,0.7867939453125,-0.4242677688598633,0.06915664672851562,-0.30300289392471313
1772884875580398000,0.803398193359375,-0.45056724548339844,0.1107945442199707,-0.3019648790359497
1772884875596991200,0.8199912109375,-0.14119434356689453,0.06610965728759766,-0.22102998197078705
1772884875613613600,0.836613525390625,0.1742563247680664,-0.061324119567871094,-0.22939129173755646
1772884875630205400,0.853205322265625,0.210723876953125,-0.1538991928100586,-0.2997022569179535
1772884875646822000,0.86982177734375,-0.05398845672607422,-0.16183900833129883,-0.2800448536872864
1772884875663437800,0.886437744140625,-0.3210277557373047,-0.11962318420410156,-0.23962393403053284
1772884875680063700,0.903063720703125,-0.5430688858032227,-0.12279129028320312,-0.3173503875732422
1772884875696646100,0.919646240234375,-0.7517776489257812,-0.1811199188232422,-0.48661428689956665
1772884875713254700,0.936254638671875,-0.9603977203369141,-0.17711400985717773,-0.5530780553817749
1772884875729843700,0.95284375,-1.0770378112792969,-0.1477198600769043,-0.4402575194835663
1772884875746463000,0.969462890625,-1.0297656059265137,-0.1623539924621582,-0.1275508850812912
1772884875763083000,0.9860830078125,-1.0541400909423828,-0.19545936584472656,0.3749580383300781
