time,seconds_elapsed,y,z,x
1772882978422293000,0.25429296875,0.006689906120300293,0.03331470489501953,0.009120464324951172
1772882978432425000,0.264425048828125,0.00923144817352295,0.04699420928955078,0.013041019439697266
1772882978442557000,0.274556884765625,0.0023061037063598633,0.01174163818359375,0.003064870834350586
1772882978452689000,0.28468896484375,-0.0037802457809448242,-0.01921844482421875,-0.004866361618041992
1772882978462821000,0.294821044921875,-0.01175391674041748,-0.05953216552734375,-0.014885187149047852
1772882978472952000,0.3049521484375,-0.003811478614807129,-0.01853179931640625,-0.004862785339355469
1772882978483084000,0.315083984375,-0.005567073822021484,-0.027068138122558594,-0.006990909576416016
1772882978493216000,0.325216064453125,0.0011276006698608398,0.005724906921386719,0.0015461444854736328
1772882978503348000,0.335347900390625,0.009284615516662598,0.047102928161621094,0.013698339462280273
1772882978513480000,0.34547998046875,0.022006988525390625,0.11711692810058594,0.03580451011657715
1772882978523612000,0.35561181640625,0.02150702476501465,0.11185646057128906,0.03424501419067383
1772882978533744000,0.365744140625,0.015562295913696289,0.08063125610351562,0.02477884292602539
1772882978543875000,0.375875,0.0139847993850708,0.07238483428955078,0.02226710319519043
1772882978554007000,0.386007080078125,-0.0003845691680908203,-0.0019865036010742188,-0.0005631446838378906
1772882978564139000,0.396138916015625,-0.010121703147888184,-0.05210685729980469,-0.01438760757446289
1772882978574271000,0.40627099609375,-0.010426521301269531,-0.054869651794433594,-0.01514434814453125
1772882978584403000,0.41640283203125,-0.010802388191223145,-0.058333396911621094,-0.015317678451538086
1772882978594535000,0.426534912109375,-0.0004993677139282227,-0.0027780532836914062,-0.0007243156433105469
1772882978604666000,0.436666015625,0.005251288414001465,0.02923107147216797,0.007975339889526367
1772882978614798000,0.446798095703125,0.005994200706481934,0.03322887420654297,0.009650468826293945
1772882978624930000,0.456929931640625,0.002650737762451172,0.013802528381347656,0.0038297176361083984
1772882978635062000,0.46706201171875,0.0024857521057128906,0.013014793395996094,0.003613710403442383
1772882978645194000,0.477194091796875,0.0026149749755859375,0.0137786865234375,0.0038454532623291016
1772882978655326000,0.487325927734375,0.0027976036071777344,0.014904975891113281,0.004177570343017578
1772882978665457000,0.497456787109375,0.0031048059463500977,0.016805648803710938,0.00473332405090332
1772882978675589000,0.507589111328125,0.0025097131729125977,0.013887405395507812,0.003899812698364258
1772882978685721000,0.51772119140625,0.0017691850662231445,0.010012626647949219,0.0027959346771240234
1772882978695853000,0.52785302734375,0.00041222572326660156,0.0023899078369140625,0.0006601810455322266
1772882978705985000,0.537985107421875,-0.0014352798461914062,-0.008549690246582031,-0.0023193359375
