time,seconds_elapsed,z,y,x
1772883664641790500,0.13679052734375,-0.02015855349600315,-0.17302757501602173,-0.2324342280626297
1772883664658438700,0.153438720703125,0.041233405470848083,-0.21731531620025635,-0.19944749772548676
1772883664675018200,0.170018310546875,0.1290452778339386,-0.19349156320095062,-0.18325957655906677
1772883664691623400,0.18662353515625,0.21807889640331268,-0.1007927656173706,-0.17791450023651123
1772883664708227800,0.203227783203125,0.2922990322113037,-0.03527746722102165,-0.21960605680942535
1772883664724834000,0.219833984375,0.34636059403419495,-0.014966198243200779,-0.21135938167572021
1772883664741504300,0.236504150390625,0.35643985867500305,0.03940080851316452,-0.09972374886274338
1772883664758057000,0.253056884765625,0.28756481409072876,-0.03420845419168472,-0.05268712714314461
1772883664774669800,0.269669921875,0.21135938167572021,-0.20784689486026764,-0.1319468915462494
1772883664791267600,0.286267578125,0.21181751787662506,-0.2932153046131134,-0.16829337179660797
1772883664807870500,0.302870361328125,0.35262197256088257,-0.12324206531047821,-0.0633772686123848
1772883664824477700,0.319477783203125,0.5520694851875305,0.08002334833145142,0.1134682223200798
1772883664841066500,0.33606640625,0.6731734871864319,0.14385876059532166,0.30344730615615845
1772883664857673000,0.3526728515625,0.6546948552131653,0.024587325751781464,0.4415028691291809
1772883664874297600,0.369297607421875,0.4928155243396759,-0.20861047506332397,0.39904773235321045
1772883664890896600,0.385896728515625,0.23487769067287445,-0.2515237629413605,0.318566232919693
1772883664907502300,0.40250244140625,-0.03176499158143997,-0.18906278908252716,0.256868839263916
1772883664924107300,0.419107177734375,-0.27611109614372253,-0.08597928285598755,0.20815233886241913
1772883664940719600,0.4357197265625,-0.46242499351501465,0.15271630883216858,0.21319197118282318
1772883664957329200,0.4523291015625,-0.5433646440505981,0.4219551682472229,0.23090706765651703
1772883664973930800,0.4689306640625,-0.5338962078094482,0.5644394755363464,0.24434609711170197
1772883664990526200,0.485526123046875,-0.4665483236312866,0.5476406812667847,0.2967278063297272
1772883665007133000,0.5021328125,-0.41141775250434875,0.4966334402561188,0.45142942667007446
1772883665023744300,0.518744140625,-0.3747658133506775,0.36483925580978394,0.6976081132888794
1772883665040345000,0.535344970703125,-0.3471241891384125,0.09315694868564606,1.003498911857605
