time,seconds_elapsed,z,y,x
1772883649012273000,0.17927294921875,7.264011383056641,4.947160720825195,-1.2843475341796875
1772883649028876800,0.195876708984375,7.11146879196167,4.986642360687256,-1.0923235416412354
1772883649045472500,0.212472412109375,7.164709091186523,5.004588603973389,-0.8817551732063293
1772883649062087000,0.2290869140625,7.688138961791992,4.956732273101807,-0.760917603969574
1772883649078708700,0.245708740234375,8.09252643585205,4.799404144287109,-0.8404789566993713
1772883649095332900,0.262332763671875,8.324629783630371,4.602594375610352,-1.073180913925171
1772883649111922000,0.278921875,8.62193775177002,4.454837322235107,-1.357926845550537
1772883649128510700,0.2955107421875,9.400203704833984,4.230510234832764,-1.5409778356552124
1772883649145124900,0.312124755859375,9.94397258758545,4.097110748291016,-1.4733805656433105
1772883649161730600,0.32873046875,10.17846965789795,4.193421840667725,-1.2490534782409668
1772883649178338600,0.345338623046875,10.374082565307617,4.307679176330566,-0.9625129103660583
1772883649194923800,0.361923828125,10.593624114990234,4.414159774780273,-0.776470959186554
1772883649211571700,0.37857177734375,10.74138069152832,4.269991874694824,-0.529412031173706
1772883649228153000,0.395153076171875,10.450055122375488,4.012165546417236,-0.4055834412574768
1772883649244754000,0.41175390625,10.120443344116211,3.7639100551605225,-0.33858439326286316
1772883649261361000,0.42836083984375,9.675378799438477,3.5569307804107666,-0.1986042857170105
1772883649277965600,0.444965576171875,9.253045082092285,3.418147087097168,-0.10169496387243271
1772883649294558700,0.461558837890625,9.087342262268066,3.3200414180755615,-0.04905286431312561
1772883649311180300,0.47818017578125,9.098708152770996,3.243471145629883,-0.020937198773026466
1772883649327763200,0.49476318359375,9.147761344909668,3.1998021602630615,0.064606212079525
1772883649344374000,0.5113740234375,9.044869422912598,3.1405797004699707,0.20817556977272034
1772883649360986400,0.527986328125,8.691329956054688,3.0891339778900146,0.1860419660806656
1772883649377596000,0.544595947265625,8.184051513671875,3.0412776470184326,0.04007977992296219
1772883649394192400,0.5611923828125,7.617550849914551,3.135794162750244,0.015553346835076809
1772883649410806000,0.577805908203125,7.397411346435547,3.401397466659546,0.01375873014330864
1772883649427408100,0.594408203125,7.7491559982299805,3.538984775543213,0.0364905446767807
1772883649444021800,0.611021728515625,8.09252643585205,3.5718860626220703,0.0011964113218709826
