time,seconds_elapsed,y,z,x
1772883160614553000,0.227552978515625,-0.002635955810546875,-0.008357048034667969,-0.0004323422908782959
1772883160624685000,0.23768505859375,0.02374410629272461,0.07286930084228516,0.0034494102001190186
1772883160634817000,0.247817138671875,0.028516769409179688,0.08528995513916016,0.003693222999572754
1772883160644949000,0.257948974609375,0.01040196418762207,0.03268623352050781,0.0012825429439544678
1772883160655081000,0.2680810546875,0.008419036865234375,0.025689125061035156,0.001328587532043457
1772883160665213000,0.278212890625,0.016922712326049805,0.05329418182373047,0.002304285764694214
1772883160675345000,0.288344970703125,0.023417234420776367,0.07083606719970703,0.003939032554626465
1772883160685476000,0.29847607421875,0.016761302947998047,0.05276203155517578,0.002712845802307129
1772883160695608000,0.308608154296875,0.011023998260498047,0.03415870666503906,0.0014816820621490479
1772883160705740000,0.318739990234375,-0.001302480697631836,-0.004017829895019531,-0.00014209747314453125
1772883160715872000,0.3288720703125,0.011660337448120117,0.03420829772949219,0.0012105107307434082
1772883160726004000,0.33900390625,-0.007919073104858398,-0.024725914001464844,-0.0006713569164276123
1772883160736136000,0.349135986328125,-0.002178668975830078,-0.006627082824707031,-0.00023469328880310059
1772883160746267000,0.359266845703125,-0.0002167224884033203,-0.0006685256958007812,-0.00002905726432800293
1772883160756399000,0.369399169921875,0.008997917175292969,0.028242111206054688,0.0014562606811523438
1772883160766531000,0.379531005859375,0.026877403259277344,0.08256340026855469,0.004241287708282471
1772883160776663000,0.3896630859375,0.025366544723510742,0.07790851593017578,0.0033674538135528564
1772883160786795000,0.399794921875,-0.006198406219482422,-0.01963043212890625,-0.0008550584316253662
1772883160796927000,0.409927001953125,0.014165163040161133,0.04392051696777344,0.0022636055946350098
1772883160807058000,0.420057861328125,0.02440047264099121,0.07282733917236328,0.0040541887283325195
1772883160817190000,0.43018994140625,0.012927532196044922,0.03971385955810547,0.0018213391304016113
1772883160827322000,0.440322021484375,0.012433528900146484,0.038161277770996094,0.0017972290515899658
1772883160837454000,0.4504541015625,0.011750936508178711,0.03607654571533203,0.001781165599822998
1772883160847586000,0.4605859375,0.012064218521118164,0.03706550598144531,0.0019209980964660645
1772883160857718000,0.470718017578125,0.011454105377197266,0.0352783203125,0.0019077062606811523
1772883160867849000,0.480848876953125,0.009458780288696289,0.029291152954101562,0.0016685724258422852
1772883160877981000,0.49098095703125,0.007287740707397461,0.022754669189453125,0.0013427734375
1772883160888113000,0.50111279296875,0.004958152770996094,0.015630722045898438,0.0009447932243347168
1772883160898245000,0.5112451171875,0.003893613815307617,0.012418746948242188,0.0007681846618652344
1772883160908377000,0.521377197265625,0.003710031509399414,0.011986732482910156,0.0007627606391906738
1772883160918509000,0.531509033203125,0.002100706100463867,0.006911277770996094,0.00045484304428100586
1772883160928640000,0.541639892578125,0.0013012886047363281,0.004349708557128906,0.0002956986427307129
1772883160938772000,0.55177197265625,0.0007603168487548828,0.0025854110717773438,0.00018137693405151367
1772883160948904000,0.561904052734375,0.0011014938354492188,0.0038003921508789062,0.00027310848236083984
1772883160959036000,0.572035888671875,0.001598358154296875,0.005589485168457031,0.0004106760025024414
1772883160969168000,0.58216796875,0.0007843971252441406,0.0027828216552734375,0.00020813941955566406
1772883160979300000,0.592300048828125,0.000055789947509765625,0.0002002716064453125,0.000015437602996826172
1772883160989431000,0.60243115234375,0.0010156631469726562,0.0037069320678710938,0.0002951622009277344
1772883160999563000,0.61256298828125,0.00029754638671875,0.00110626220703125,0.00009042024612426758
1772883161009695000,0.622695068359375,-0.0005476474761962891,-0.0020751953125,-0.00017458200454711914
1772883161019827000,0.632826904296875,-0.001566171646118164,-0.006058692932128906,-0.0005242228507995605
1772883161029959000,0.642958984375,-0.0013167858123779297,-0.005211830139160156,-0.00046503543853759766
1772883161040091000,0.6530908203125,-0.0007796287536621094,-0.0031480789184570312,-0.00028777122497558594
1772883161050222000,0.66322216796875,-0.0007109642028808594,-0.0029354095458984375,-0.0002785325050354004
1772883161060354000,0.67335400390625,-0.00034737586975097656,-0.001461029052734375,-0.00014293193817138672
1772883161070486000,0.683486083984375,0.0006227493286132812,0.0026655197143554688,0.0002701282501220703
1772883161080618000,0.693617919921875,0.0017933845520019531,0.007763862609863281,0.0008129477500915527
1772883161090750000,0.70375,0.002588033676147461,0.011318206787109375,0.0012257099151611328
1772883161100882000,0.7138818359375,0.0028765201568603516,0.012685775756835938,0.0014214515686035156
1772883161111013000,0.72401318359375,0.0027065277099609375,0.012056350708007812,0.001384735107421875
1772883161121145000,0.73414501953125,0.0027370452880859375,0.01229095458984375,0.0014438629150390625
1772883161131277000,0.744277099609375,0.0036225318908691406,0.01644134521484375,0.0019763708114624023
