time,seconds_elapsed,y,z,x
1772883160817190000,0.43018994140625,-0.0002662499900907278,0.0002662499900907278,0.0005324999801814556
1772883160827322000,0.440322021484375,-0.0002662499900907278,0.0002662499900907278,0.0005324999801814556
1772883160837454000,0.4504541015625,-0.0001331249950453639,0.0001331249950453639,-0.0002662499900907278
1772883160847586000,0.4605859375,-0.0001331249950453639,0.0001331249950453639,-0.0002662499900907278
1772883160857718000,0.470718017578125,-0.0003993749851360917,0.0002662499900907278,0.0002662499900907278
1772883160867849000,0.480848876953125,-0.0003993749851360917,0.0002662499900907278,0.0002662499900907278
1772883160877981000,0.49098095703125,0,-0.0003993749851360917,-0.0001331249950453639
1772883160888113000,0.50111279296875,0,-0.0003993749851360917,-0.0001331249950453639
1772883160898245000,0.5112451171875,-0.0002662499900907278,-0.0003993749851360917,0.0001331249950453639
1772883160908377000,0.521377197265625,-0.0002662499900907278,-0.0003993749851360917,0.0001331249950453639
1772883160918509000,0.531509033203125,0.0001331249950453639,-0.0001331249950453639,0.0001331249950453639
1772883160928640000,0.541639892578125,0.0001331249950453639,-0.0001331249950453639,0.0001331249950453639
1772883160938772000,0.55177197265625,0.0001331249950453639,-0.0001331249950453639,0.0003993749851360917
1772883160948904000,0.561904052734375,0.0001331249950453639,-0.0001331249950453639,0.0003993749851360917
1772883160959036000,0.572035888671875,-0.12047812342643738,-0.07787812501192093,-0.5798924565315247
1772883160969168000,0.58216796875,-0.12047812342643738,-0.07787812501192093,-0.5798924565315247
1772883160979300000,0.592300048828125,-0.06083812192082405,-0.10117499530315399,-0.6583030819892883
1772883160989431000,0.60243115234375,-0.06083812192082405,-0.10117499530315399,-0.6583030819892883
1772883160999563000,0.61256298828125,-0.03727499768137932,-0.11581874638795853,-0.6167681217193604
1772883161009695000,0.622695068359375,-0.03727499768137932,-0.11581874638795853,-0.6167681217193604
1772883161019827000,0.632826904296875,-0.049921873956918716,-0.11888062208890915,-0.5026800036430359
1772883161029959000,0.642958984375,-0.049921873956918716,-0.11888062208890915,-0.5026800036430359
1772883161040091000,0.6530908203125,-0.09531749784946442,-0.11581874638795853,-0.3917868733406067
1772883161050222000,0.66322216796875,-0.09531749784946442,-0.11581874638795853,-0.3917868733406067
1772883161060354000,0.67335400390625,-0.17852061986923218,-0.11328937113285065,-0.32309436798095703
1772883161070486000,0.683486083984375,-0.17852061986923218,-0.11328937113285065,-0.32309436798095703
1772883161080618000,0.693617919921875,-0.2979337275028229,-0.11741624772548676,-0.2875500023365021
1772883161090750000,0.70375,-0.2979337275028229,-0.11741624772548676,-0.2875500023365021
1772883161100882000,0.7138818359375,-0.42839622497558594,-0.1384499967098236,-0.2638537287712097
1772883161111013000,0.72401318359375,-0.42839622497558594,-0.1384499967098236,-0.2638537287712097
1772883161121145000,0.73414501953125,-0.5179893374443054,-0.1919662356376648,-0.24867749214172363
1772883161131277000,0.744277099609375,-0.5179893374443054,-0.1919662356376648,-0.24867749214172363
1772883161141409000,0.754408935546875,-0.5198531150817871,-0.2798287272453308,-0.255999356508255
1772883161151541000,0.764541015625,-0.5198531150817871,-0.2798287272453308,-0.255999356508255
1772883161161673000,0.7746728515625,-0.4238699972629547,-0.3732824921607971,-0.2976675033569336
1772883161171804000,0.784803955078125,-0.4238699972629547,-0.3732824921607971,-0.2976675033569336
1772883161181936000,0.79493603515625,-0.25879499316215515,-0.4313249886035919,-0.3605024814605713
1772883161192068000,0.805068115234375,-0.25879499316215515,-0.4313249886035919,-0.3605024814605713
1772883161202200000,0.815199951171875,-0.06975749880075455,-0.43438684940338135,-0.4044337272644043
1772883161212332000,0.82533203125,-0.06975749880075455,-0.43438684940338135,-0.4044337272644043
1772883161222464000,0.835464111328125,0.09092437475919724,-0.40336874127388,-0.3896568715572357
1772883161232595000,0.845594970703125,0.09092437475919724,-0.40336874127388,-0.3896568715572357
1772883161242727000,0.855726806640625,0.178653746843338,-0.3746137320995331,-0.3113793730735779
1772883161252859000,0.86585888671875,0.178653746843338,-0.3746137320995331,-0.3113793730735779
1772883161262991000,0.8759912109375,0.17066624760627747,-0.37155187129974365,-0.19263187050819397
1772883161273123000,0.886123046875,0.17066624760627747,-0.37155187129974365,-0.19263187050819397
