time,seconds_elapsed,z,y,x
1772884846252524300,0.128524169921875,0.008399397134780884,-0.07131851464509964,0.24144448339939117
1772884846269142300,0.145142333984375,0.026572637259960175,-0.08506298810243607,0.2330450862646103
1772884846285741800,0.161741943359375,0.030085112899541855,-0.048716504126787186,0.17180584371089935
1772884846302343400,0.178343505859375,0.018936822190880775,-0.02825251780450344,0.13454307615756989
1772884846318959000,0.194958984375,-0.008857546374201775,-0.026572637259960175,0.14278975129127502
1772884846335561500,0.2115615234375,-0.03680463135242462,-0.013744467869400978,0.14874568581581116
1772884846352194800,0.22819482421875,-0.057879481464624405,0.012522737495601177,0.13897185027599335
1772884846368793300,0.24479345703125,-0.06230825558304787,0.09056077152490616,0.10186178237199783
1772884846385395700,0.261395751953125,-0.06230825558304787,0.1411098688840866,0.08078692853450775
1772884846402014000,0.278013916015625,-0.04108068719506264,0.15393804013729095,0.1033889427781105
1772884846418614000,0.294614013671875,-0.01114829070866108,0.08261952549219131,0.17501288652420044
1772884846435220200,0.31122021484375,0.030085112899541855,0.03680463135242462,0.2226603776216507
1772884846451826400,0.327826416015625,0.059864792972803116,0.023518312722444534,0.21899518370628357
1772884846468438800,0.344438720703125,0.07147123664617538,0.028405234217643738,0.1618792861700058
1772884846485040600,0.36104052734375,0.08200865983963013,0.07223481684923172,0.08674286305904388
1772884846501648100,0.377648193359375,0.07910704612731934,0.08888089656829834,0.014355333521962166
1772884846518257200,0.394257080078125,0.03741549700498581,0.10903944820165634,0.003817907767370343
1772884846534861300,0.410861328125,-0.025045474991202354,0.09926560521125793,0.07101308554410934
1772884846551491300,0.4274912109375,-0.03237585723400116,0.02229658141732216,0.13118331134319305
1772884846568078300,0.444078369140625,-0.016493361443281174,-0.0022907445672899485,0.16233743727207184
1772884846584686000,0.46068603515625,-0.008399397134780884,0.024892758578062057,0.17012597620487213
1772884846601287400,0.477287353515625,-0.020922135561704636,0.054367005825042725,0.14905111491680145
1772884846617899800,0.493899658203125,-0.03940080851316452,0.041233405470848083,0.09941831976175308
1772884846634504400,0.51050439453125,-0.05115996301174164,0.03191770985722542,0.034666601568460464
1772884846651096000,0.527095947265625,-0.05742133408784866,0.017562376335263252,-0.00855211354792118
1772884846667720000,0.543719970703125,-0.05955936014652252,0.015271631069481373,-0.017867809161543846
1772884846684320300,0.5603203125,-0.048258353024721146,0.014049900695681572,0.007177666760981083
1772884846700938200,0.576938232421875,-0.03451388701796532,0.07040221989154816,0.03420845419168472
1772884846717540900,0.593540771484375,0.014202617108821869,0.20051652193069458,0.024434609338641167
1772884846734147600,0.610147705078125,0.1062905490398407,0.3628539443016052,-0.013897184282541275
1772884846750737700,0.626737548828125,0.14416420459747314,0.4285219609737396,-0.07116580009460449
1772884846767347700,0.64334765625,0.1615738570690155,0.29764407873153687,-0.1722639948129654
1772884846783951600,0.65995166015625,0.16798794269561768,0.19364428520202637,-0.26481008529663086
1772884846800564700,0.676564697265625,0.21762074530124664,0.018325956538319588,-0.3799581825733185
1772884846817170000,0.693169921875,0.3562871515750885,-0.07437284290790558,-0.4905247986316681
1772884846833774300,0.7097744140625,0.5140430927276611,-0.1339322030544281,-0.5998696684837341
1772884846850400000,0.72639990234375,0.589790403842926,-0.22815817594528198,-0.6125451326370239
1772884846867002400,0.74300244140625,0.561079740524292,-0.16111570596694946,-0.48288896679878235
1772884846883606000,0.75960595703125,0.4476115107536316,0.05772676691412926,-0.3098613917827606
1772884846900220400,0.776220458984375,0.20830504596233368,0.22876903414726257,-0.22800545394420624
1772884846916823600,0.792823486328125,-0.1915062516927719,0.1719585657119751,-0.24602597951889038
1772884846933435400,0.809435302734375,-0.5390886068344116,-0.021991148591041565,-0.23105977475643158
1772884846950041300,0.826041259765625,-0.7269296646118164,0.052839845418930054,-0.13087788224220276
1772884846966616000,0.842615966796875,-0.84574294090271,0.4282165467739105,-0.08796459436416626
1772884846983238000,0.85923779296875,-0.9256135821342468,0.8788823485374451,-0.2638937830924988
1772884846999845600,0.875845703125,-0.9388998746871948,0.8921687006950378,-0.5801692605018616
1772884847016457700,0.892457763671875,-0.6383541822433472,0.8539896011352539,-0.4421137273311615
1772884847033062700,0.909062744140625,-0.3349068760871887,0.9743300676345825,0.08796459436416626
1772884847049666800,0.925666748046875,-0.21670444309711456,0.9812023043632507,0.5978843569755554
1772884847066277600,0.942277587890625,-0.1866193264722824,0.4671591818332672,0.7411322593688965
1772884847082893000,0.95889306640625,-0.033139441162347794,-0.4787656366825104,0.6774495840072632
1772884847099507500,0.975507568359375,0.15653422474861145,-1.4089607000350952,0.5387831330299377
1772884847116110800,0.99211083984375,0.16554448008537292,-2.0648772716522217,0.23579397797584534
1772884847132722200,1.00872216796875,0.11423180252313614,-2.221564292907715,-0.32268956303596497
1772884847149326800,1.025326904296875,-0.0064140851609408855,-2.088701009750366,-1.2731958627700806
1772884847165924600,1.041924560546875,-0.13500121235847473,-2.1459696292877197,-2.336406946182251
1772884847182544600,1.058544677734375,-0.1898263692855835,-2.4979805946350098,-3.124575614929199
1772884847199143000,1.075142822265625,-0.052839845418930054,-2.7398834228515625,-3.701232433319092
1772884847215741200,1.0917412109375,-0.027030786499381065,-2.481945514678955,-3.8334848880767822
1772884847232348200,1.10834814453125,-0.18478673696517944,-1.868789553642273,-3.349985122680664
1772884847248951600,1.12495166015625,-0.4112650156021118,-0.936609148979187,-2.308459758758545
1772884847265558000,1.14155810546875,-0.6719517707824707,0.1391245573759079,-1.016479730606079
1772884847282164000,1.1581640625,-0.7550294399261475,0.6104071140289307,-0.09712757170200348
1772884847298772000,1.17477197265625,-0.6229298114776611,0.3908010423183441,0.15592335164546967
1772884847315377700,1.191377685546875,-0.4260784983634949,0.11209376901388168,0.2292271852493286
1772884847331987500,1.207987548828125,-0.18860463798046112,-0.11362093687057495,0.29474249482154846
1772884847348609000,1.224609130859375,-0.09834930300712585,-0.3182607889175415,0.33292156457901
1772884847365212400,1.24121240234375,-0.13271047174930573,-0.37690386176109314,0.34345898032188416
1772884847381818600,1.257818603515625,-0.19135354459285736,-0.39248090982437134,0.3243694305419922
1772884847398438000,1.27443798828125,-0.3101668357849121,-0.44974952936172485,0.30833423137664795
1772884847415039500,1.29103955078125,-0.40912699699401855,-0.26022860407829285,0.33200526237487793
1772884847431634000,1.307634033203125,-0.518471896648407,0.07269296050071716,0.46792277693748474
1772884847448233000,1.32423291015625,-0.6783658266067505,0.4473060667514801,0.6586654782295227
1772884847464854000,1.34085400390625,-0.7405213713645935,0.8419250249862671,0.6505714654922485
1772884847481447000,1.357447021484375,-0.6550002694129944,1.0968085527420044,0.38499781489372253
1772884847498070300,1.3740703125,-0.6183483600616455,1.021824836730957,0.1719585657119751
1772884847514661400,1.390661376953125,-0.6730207800865173,0.9088147878646851,0.14966198801994324
1772884847531258600,1.407258544921875,-0.7461718916893005,1.0868819952011108,0.17150041460990906
1772884847547890200,1.42389013671875,-0.726471483707428,1.1326968669891357,0.5097670555114746
